category,method,route,purpose,request_schema,response_schema,authentication,frontend_caller,backend_handler,database_effect,filesystem_effect,ai_provider_use,status,evidence
health/settings,GET,/api/v1/settings/models/local-transcription,Get local transcription model catalog,None/path-query only,LocalTranscriptionModelCatalogResponse,None implemented,No direct static match found,get_local_transcription_model_catalog,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/models.py:31 get_local_transcription_model_catalog
health/settings,POST,/api/v1/settings/models/local-transcription/{model_id}/download,Download local transcription model,model_id: str,LocalTranscriptionModelDownloadResponse,None implemented,No direct static match found,download_local_transcription_model,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/models.py:80 download_local_transcription_model
health/settings,GET,/api/v1/settings/models/local-transcription/{model_id}/download,Get local transcription model download,model_id: str,LocalTranscriptionModelDownloadResponse,None implemented,No direct static match found,get_local_transcription_model_download,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/models.py:97 get_local_transcription_model_download
health/settings,DELETE,/api/v1/settings/models/local-transcription/{model_id},Remove local transcription model,model_id: str,LocalTranscriptionModelRemoveResponse,None implemented,No direct static match found,remove_local_transcription_model,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/models.py:112 remove_local_transcription_model
projects,POST,/api/v1/projects,Create project,None/path-query only,ProjectDetailResponse,None implemented,No direct static match found,create_project,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:635 create_project
projects,GET,/api/v1/projects,List projects,None/path-query only,None,None implemented,desktop/src/lib/api.ts:314 listProjects; desktop/src/lib/api.ts:337 getProjectSourceSyncPlan; desktop/src/lib/api.ts:341 applyProjectSourceSyncMetadata,list_projects,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:669 list_projects
projects,GET,/api/v1/projects/{project_id},Get project,project_id: UUID,ProjectDetailResponse,None implemented,desktop/src/lib/api.ts:307 createProject; desktop/src/lib/api.ts:314 listProjects; desktop/src/lib/api.ts:318 getProject; desktop/src/lib/api.ts:322 updateProject,get_project,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:676 get_project
projects,PATCH,/api/v1/projects/{project_id},Update project,project_id: UUID,ProjectDetailResponse,None implemented,No direct static match found,update_project,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:690 update_project
projects,DELETE,/api/v1/projects/{project_id},Delete project,project_id: UUID,handler-defined,None implemented,No direct static match found,delete_project,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:719 delete_project
projects,GET,/api/v1/projects/{project_id}/assets,List project assets,project_id: UUID,None,None implemented,No direct static match found,list_project_assets,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:756 list_project_assets
projects,GET,/api/v1/projects/{project_id}/source-sync,Get project source sync plan,project_id: UUID,ProjectSourceSyncPlanResponse,None implemented,No direct static match found,get_project_source_sync_plan,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:829 get_project_source_sync_plan
projects,POST,/api/v1/projects/{project_id}/source-sync/apply-metadata,Apply project source sync metadata,project_id: UUID,ProjectSourceSyncPlanResponse,None implemented,No direct static match found,apply_project_source_sync_metadata,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:836 apply_project_source_sync_metadata
projects,POST,/api/v1/projects/{project_id}/assets/upload,Upload project asset,project_id: UUID; asset_type: AssetUploadType; is_primary: bool; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:870 upload_project_asset
projects,POST,/api/v1/projects/{project_id}/videos/upload,Upload project primary video,project_id: UUID; file: UploadFile,VideoUploadResponse,None implemented,No direct static match found,upload_project_primary_video,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:890 upload_project_primary_video
projects,POST,/api/v1/projects/{project_id}/imports/native/primary/init,Init native project primary import,project_id: UUID,NativeImportInitResponse,None implemented,No direct static match found,init_native_project_primary_import,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1007 init_native_project_primary_import
projects,POST,/api/v1/projects/{project_id}/imports/browser/primary/init,Init browser project primary import,project_id: UUID,NativeImportInitResponse,None implemented,No direct static match found,init_browser_project_primary_import,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1066 init_browser_project_primary_import
projects,POST,/api/v1/projects/{project_id}/imports/native/primary/{token}/finalize,Finalize native project primary import,project_id: UUID; token: str,VideoUploadResponse,None implemented,No direct static match found,finalize_native_project_primary_import,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1125 finalize_native_project_primary_import
projects,POST,/api/v1/projects/{project_id}/imports/native/primary/{token}/cancel,Cancel native project primary import,project_id: UUID; token: str,NativeImportCancelResponse,None implemented,No direct static match found,cancel_native_project_primary_import,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1161 cancel_native_project_primary_import
projects,GET,/api/v1/projects/{project_id}/imports/browser/primary/{token},Get browser project primary import status,project_id: UUID; token: str,PrimaryImportStatusResponse,None implemented,No direct static match found,get_browser_project_primary_import_status,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1191 get_browser_project_primary_import_status
projects,PUT,/api/v1/projects/{project_id}/imports/browser/primary/{token}/chunk,Append browser project primary import chunk,project_id: UUID; token: str; offset: int,PrimaryImportChunkResponse,None implemented,No direct static match found,append_browser_project_primary_import_chunk,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1216 append_browser_project_primary_import_chunk
projects,POST,/api/v1/projects/{project_id}/imports/browser/primary/{token}/finalize,Finalize browser project primary import,project_id: UUID; token: str,VideoUploadResponse,None implemented,No direct static match found,finalize_browser_project_primary_import,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1269 finalize_browser_project_primary_import
projects,POST,/api/v1/projects/{project_id}/imports/browser/primary/{token}/cancel,Cancel browser project primary import,project_id: UUID; token: str,NativeImportCancelResponse,None implemented,No direct static match found,cancel_browser_project_primary_import,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1305 cancel_browser_project_primary_import
projects,GET,/api/v1/projects/{project_id}/imports/native/orphans,List native project import orphans,project_id: UUID,NativeImportOrphanReport,None implemented,No direct static match found,list_native_project_import_orphans,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1335 list_native_project_import_orphans
projects,POST,/api/v1/projects/{project_id}/assets/video,Upload project video asset,project_id: UUID; is_primary: bool; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_video_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1360 upload_project_video_asset
projects,POST,/api/v1/projects/{project_id}/assets/screen,Upload project screen asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_screen_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1372 upload_project_screen_asset
projects,POST,/api/v1/projects/{project_id}/assets/camera,Upload project camera asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_camera_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1383 upload_project_camera_asset
projects,POST,/api/v1/projects/{project_id}/assets/webcam,Upload project webcam asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_webcam_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1394 upload_project_webcam_asset
projects,POST,/api/v1/projects/{project_id}/assets/phone-camera,Upload project phone camera asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_phone_camera_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1405 upload_project_phone_camera_asset
projects,POST,/api/v1/projects/{project_id}/assets/audio,Upload project audio asset,project_id: UUID; is_primary: bool; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_audio_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1416 upload_project_audio_asset
projects,POST,/api/v1/projects/{project_id}/assets/slides,Upload project slide asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_slide_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1428 upload_project_slide_asset
projects,POST,/api/v1/projects/{project_id}/assets/notes,Upload project notes asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_notes_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1439 upload_project_notes_asset
projects,POST,/api/v1/projects/{project_id}/assets/materials,Upload project supporting material asset,project_id: UUID; metadata: str | None; file: UploadFile,ProjectAssetUploadResponse,None implemented,No direct static match found,upload_project_supporting_material_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1450 upload_project_supporting_material_asset
projects,GET,/api/v1/projects/{project_id}/assets/{asset_id},Get project asset,project_id: UUID; asset_id: UUID,ProjectAssetResponse,None implemented,No direct static match found,get_project_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1461 get_project_asset
projects,PUT,/api/v1/projects/{project_id}/assets/{asset_id}/sync,Update project asset sync offset,project_id: UUID; asset_id: UUID,ProjectAssetResponse,None implemented,No direct static match found,update_project_asset_sync_offset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1474 update_project_asset_sync_offset
projects,PATCH,/api/v1/projects/{project_id}/assets/{asset_id}/metadata,Update project asset metadata,project_id: UUID; asset_id: UUID,ProjectAssetResponse,None implemented,No direct static match found,update_project_asset_metadata,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1524 update_project_asset_metadata
projects,GET,/api/v1/projects/{project_id}/assets/{asset_id}/download,Download project asset,project_id: UUID; asset_id: UUID,handler-defined,None implemented,No direct static match found,download_project_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1557 download_project_asset
projects,DELETE,/api/v1/projects/{project_id}/assets/{asset_id},Delete project asset,project_id: UUID; asset_id: UUID,handler-defined,None implemented,No direct static match found,delete_project_asset,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/projects.py:1577 delete_project_asset
assets,POST,/api/v1/videos/upload,Upload video,file: UploadFile,VideoUploadResponse,None implemented,No direct static match found,upload_video,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:129 upload_video
analysis,POST,/api/v1/videos/{video_id}/process,Start video processing,video_id: str,handler-defined,None implemented,No direct static match found,start_video_processing,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:273 start_video_processing
videos,GET,/api/v1/videos,List videos,None/path-query only,None,None implemented,desktop/src/lib/api.ts:568 listVideos,list_videos,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:323 list_videos
videos,GET,/api/v1/videos/{video_id},Get video,video_id: str,VideoDetailResponse,None implemented,desktop/src/lib/api.ts:266 pickNativePrimaryVideoPath; desktop/src/lib/api.ts:394 uploadProjectPrimaryVideo; desktop/src/lib/api.ts:551 uploadVideo; desktop/src/lib/api.ts:564 startVideoProcessing,get_video,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:332 get_video
analysis,GET,/api/v1/videos/{video_id}/status,Get processing status,video_id: str,handler-defined,None implemented,No direct static match found,get_processing_status,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:353 get_processing_status
transcription,GET,/api/v1/videos/{video_id}/transcript/timeline,Get transcript timeline,video_id: str,TranscriptTimelineResponse,None implemented,No direct static match found,get_transcript_timeline,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:414 get_transcript_timeline
transcription,GET,/api/v1/videos/{video_id}/transcript/cuts,Get transcript cut decisions,video_id: str,None,None implemented,No direct static match found,get_transcript_cut_decisions,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:440 get_transcript_cut_decisions
transcription,POST,/api/v1/videos/{video_id}/transcript/cuts,Create transcript cut,video_id: str,TranscriptCutDecisionResponse,None implemented,No direct static match found,create_transcript_cut,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:454 create_transcript_cut
transcription,DELETE,/api/v1/videos/{video_id}/transcript/cuts/{decision_id},Delete transcript cut,video_id: str; decision_id: str,handler-defined,None implemented,No direct static match found,delete_transcript_cut,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:513 delete_transcript_cut
health/settings,PUT,/api/v1/videos/{video_id}/transcript/cuts/{decision_id}/trim,Update transcript cut trim settings,video_id: str; decision_id: str,TranscriptCutDecisionResponse,None implemented,No direct static match found,update_transcript_cut_trim_settings,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:538 update_transcript_cut_trim_settings
transcription,POST,/api/v1/videos/{video_id}/transcript/cuts/{decision_id}/restore-word,Restore transcript cut word,video_id: str; decision_id: str,None,None implemented,No direct static match found,restore_transcript_cut_word,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:577 restore_transcript_cut_word
videos,GET,/api/v1/videos/{video_id}/edit-decision-sync,Get edit decision sync,video_id: str,EditDecisionSyncResponse,None implemented,No direct static match found,get_edit_decision_sync,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:627 get_edit_decision_sync
edit plans,GET,/api/v1/videos/{video_id}/clean/analyze,Analyze clean tools,video_id: str; profile: str,CleanAnalyzeResponse,None implemented,No direct static match found,analyze_clean_tools,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:654 analyze_clean_tools
edit plans,POST,/api/v1/videos/{video_id}/clean/apply,Apply clean tools,video_id: str,CleanApplyResponse,None implemented,No direct static match found,apply_clean_tools,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:695 apply_clean_tools
edit plans,GET,/api/v1/videos/{video_id}/segments,Get segments,video_id: str,None,None implemented,desktop/src/lib/api.ts:657 getSegments; desktop/src/lib/api.ts:678 bulkUpdateSegments,get_segments,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:753 get_segments
edit plans,PUT,/api/v1/videos/{video_id}/segments/{segment_id},Update segment,video_id: str; segment_id: str; update: SegmentUpdateRequest,handler-defined,None implemented,No direct static match found,update_segment,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:764 update_segment
edit plans,PUT,/api/v1/videos/{video_id}/segments/bulk,Bulk update segments,video_id: str,handler-defined,None implemented,No direct static match found,bulk_update_segments,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:787 bulk_update_segments
edit plans,GET,/api/v1/videos/{video_id}/plan,Get edit plan,video_id: str,EditPlanResponse,None implemented,No direct static match found,get_edit_plan,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:811 get_edit_plan
edit plans,GET,/api/v1/videos/{video_id}/render-plan,Get semantic render plan,video_id: str,handler-defined,None implemented,No direct static match found,get_semantic_render_plan,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:823 get_semantic_render_plan
edit plans,POST,/api/v1/videos/{video_id}/render-plan/regenerate,Regenerate semantic render plan,video_id: str,handler-defined,None implemented,No direct static match found,regenerate_semantic_render_plan,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:839 regenerate_semantic_render_plan
visual planning,GET,/api/v1/videos/{video_id}/render-plan/slides/{slide_id},Get semantic render slide,video_id: str; slide_id: str,handler-defined,None implemented,No direct static match found,get_semantic_render_slide,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:855 get_semantic_render_slide
edit plans,PUT,/api/v1/videos/{video_id}/plan/captions,Update plan captions,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_captions,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:872 update_plan_captions
visual planning,PUT,/api/v1/videos/{video_id}/plan/layout-cues,Update plan layout cues,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_layout_cues,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:895 update_plan_layout_cues
